category,question,answer
General,Quickplay Mode Guide,"WHAT IS QUICKPLAY?
Quickplay is a new game mode on Summoner's Rift that's replacing Blind Pick. It allows you to pre-pick up to two champions/positions, so you can queue with 100% confidence that you'll play who you want, where you want.

WHY IS QUICKPLAY REPLACING BLIND PICK?
The short version: We wanted to create a mode that was better-suited for new players and made it easier for you to pick a certain champion in a certain lane without all the extra hurdles of Champ Select.


PREPARING FOR QUICKPLAY
two-champs-full-screen.png
Unlike other game modes, your champion/position selection happens before you enter the queue. This way you're guaranteed to always get one of the two champs you pick, and you'll never be forced outside of your top two positions. Once you've picked your champions, don't forget to customize their Runes, Spells, and skin. 

In order to get Quickplay into your hands… well, quickly, we had to delay a few features—including Chromas. But don't worry! They'll be available soon enough in a future update.

There are a few rules in place that vary slightly depending on how many friends you queue up with:

SOLO RULES
2 unique champions
2 unique positions (minimum 1 priority)
""Priority"" positions are dynamically chosen based on which positions need more players throughout the server. In the example below, there are already too many players vying for middle and bottom, so you'd have to swap one pick to a lesser-chosen position in order to enter the queue.

2–4 PLAYER PARTY RULES
All solo rules apply to each player
Minimum of 1 unique champion per player across the party
Primary slot selections must be unique across the party (champion and position)
5 PLAYER PARTY RULES
1 unique champion per player across the party
1 unique position per player across the party
You can all run it down mid together once the game has begun, but you'll all have to lock in a single unique champion for a single unique position before joining up.

Because One-for-All is a totally different game mode.

OTHER DIFFERENCES
Once the game starts, the differences between Quickplay and any other game mode are minimal.

You'll get visual indicators of your assigned lane when the match starts
Surrender votes are available starting at 10 minutes (4-out-of-5 players required, reduced to 3-out-of-5 at 15 minutes)
Like Blind Pick before, there's a chance of the same champion(s) being on both teams
Besides those small differences, it's just like any other Summoner's Rift match.

WHEN IS QUICKPLAY MODE COMING OUT?
Quickplay is already available on the PBE and will have a staggered release to live service starting Patch 13.22.

QUICKPLAY MATCHMAKING
At its heart, Quickplay is just the evolved version of Blind Pick—which is why it'll use the same MMR you had for Blind Pick."
General,Quickplay Mode,"What is Quickplay?
Quickplay is a new queue that will replace Blind Pick and give you faster access to the game, with a faster process that asks players to make their choices up-front and then goes directly from the lobby to the game. Meaning, there is no champ select in this mode.

Moving champion and position choices to the lobby gets you in game faster, with higher agency over what (and who) you play, and cutting out some of the collisions, toxicity, and complexity that comes with Blind Pick.

So if you only have time for one game, you can queue up with confidence knowing that when the queue pops, it’s game on!

What’s wrong with Blind Pick?
BP = Blood Pressure?
Blind Pick was designed and optimized for fast queue times. It pushes player choice into champ select, which makes the queue pop quickly. But, there are only so many lanes. Asking players to negotiate a functional team comp with strangers, against the clock, and with limited communication tools is a recipe for friction.

This is fine for players with an auto-fill mindset, but imagine: You get home from work and just want to try out the new champ, or maybe you’re getting back into League after a long break and want to ease back in on a comfort pick. For a queue with no bans, it’s tough to play what you want in Blind Pick.

Some players bypass the negotiation altogether by locking in first. This gives an unfair advantage to those with the fastest fingers and it forces everyone else to fill in what’s left or leave.

Trust
Experimental players and folks who just want to practice have multiple hurdles to overcome in Blind Pick. Say they want to try out Warwick mid—not only do they need to get lucky in champ select with both position and champion choices, but they also risk queue dodges for their unorthodox pick. Get right onto the Rift and show `em who’s a good boy.

Not-so-welcome to Summoner’s Rift
Players who are newer to the game have an even harder time with this setup. They have limited champion pools and narrow positional flexibility. If they get forced into jungle because their teammates lock in everything else, we can't be too surprised when they end up in lane because they don’t know where to go.

Another one
Last but not least, when the game is clearly over and you just want to go next before the tilt sets in, the current surrender rules make it tough to get out and play another match.

All that said, we think the original promise of getting into a game of SR at light speed is still valid and valuable. That's what we want to deliver... minus the bad stuff. Now, let’s get into the details.

How does Quickplay work?
In the lobby, players will choose Primary and Secondary champions and positions. Spells and loadouts can be changed from here as well by using a new menu.

In order to keep the queue popping quickly, one of your position choices must be a “Priority” position. These are positions that are most needed by the current matchmaking pool (the UI will tell you which is needed).

The intent is that you get your first choice most of the time, but there will be times when you have to play in a Priority position. This is something we will keep a close eye on numbers-wise and tune accordingly.

Here are the specific rules for different party sizes:

Solo

2 unique champions

2 unique positions

Minimum of 1 Priority position

2-4 players

All solo rules apply to each player

Minimum of 1 unique champion per player across the party

Primary slot selections must be unique across the party (champion and position)

Full team of 5

No Secondary choices required

1 unique champion and position per player across the party

To address being stuck in a lopsided match, we have lowered the surrender requirements a bit. The first surrender vote will be available at 10 minutes, down from 15, but still requires 4 of the 5 players to vote yes. Once the game hits 20 minutes, surrender will only require 3 of the 5 players to vote yes.

While this may mean that stomps won’t get to play out fully as often, that’s probably a good thing for an unranked queue. The flip side is, games that go the distance will likely be closer and worth your time!

This tuning is also something we’ll be keeping an eye on to make sure match times are healthy and most games don’t end at 10 minutes.

What are we hoping to see?
We want you to feel like this queue is a fast and easy way to enjoy SR gameplay, without the extra pre-game time.

In Quickplay, you should get to play what you want and be on the Rift shortly after hitting the Find Match button. You should feel like you can queue up with friends of different skill levels and, if the game goes sideways in a hurry, you aren’t trapped—just go next and queue up again.

The Beta Test Mindset
Quickplay’s core loop is ready to go, but at launch it will be missing some features like chroma selection and you may run into small hitches or visual bugs. Rather than hold Quickplay’s release for an extended period of time, we want to get it to you early, validate what we’ve got, and work with you to improve it over time.

Here’s the timeline:

Quickplay hits PBE in 13.21 dev cycle for core functionality.
Quickplay release to live in the following patches after 13.21, in a staggered way, from region to region.
As always we are eager to hear your feedback. Cheers and see you on the Rift!"
General,Arena Mode,"WHAT IS ARENA?
Arena is a 2v2v2v2v2v2v2v2 (16 players!) game mode for League of Legends where you face off against other pairs across multiple maps (Rings) over the course of several rounds, whittling down your opponent's team health until only one duo stands victorious.

You'll also get to choose from a random selection of Augments as you go, making every match fun and intense in its own unique way.

Of course, this is just a broad overview, so read on for the deets.

SCHEDULE
Arena's back from May 1 to September 10 at 18:00 PT.

To give you time to acclimate to the various changes, ranked progression won't begin until Patch 14.10 on May 15. That said, your secret Arena MMR will change depending on your performance before then, possibly resulting in greater Gladiator Point gains and quicker climbing when the Ranked season does officially start.

ARENA LOBBY
QUEUE UP WITH MORE FRIENDS
The queue is even more expanded this time around. While jumping in solo is always an option, you'll be able to queue up in groups of 2–8 players. Even full 16-stacks are welcome, but you won't make any ranked progression if the lobby is just you and your buds—gotta earn that climb!

The Arena experience begins the moment you enter the lobby.

You and your duo show up on one side of the lobby while the other teams appear on the right. You'll immediately notice several key differences from Summoner's Rift, such as…

No Runes - Arena's tempo makes certain rune choices less meaningful, so they've been removed entirely. Besides, many of the in-game Augments feature powered-up versions of the existing runes. Use those to custom-tailor your playstyle.

Preset Summoner Spells - Everybody starts with the same two Summoner Spells: Flash and Flee (which is similar to Ghost), though you'll sometimes have the option to swap out Flee via Augment.

Semi-Draft Pick - One player from each team makes a pick, then those picks are revealed before each duo completes their team. Time for counterpicks!

One Bans Per Team - The first player of each team gets a ban, rounding out to 8 bans overall. To change who gets to pick the ban, swap pick order.

Once everybody's locked and loaded, it's time to enter Arena.

PREPARATION PHASE
Every round begins with a preparation phase where you'll receive a variety of avenues to powering up, including Gold, Augments, and Anvils. Use this time to scout out the competition, stretch those wrists, or slam some Juice (irl or otherwise).

ROUND        BONUS        CHAMPION LEVEL
1        500 Gold, Augment        3
2        500 Gold        5
3        Prismatic Anvil        7
4        2500 Gold        9
5        2250 Gold
High Stakes: +15 Health for winning        11
6        Augment        12
7        Stat Anvil        13
8        2250 Gold        14
9        Augment
High Stakes: +15 Health for winning        15
10        Stat Anvil        16
11        2250 Gold        17
12        Augment        18
13        2250 Gold
High Stakes: +15 Health for winning        18
14        2250 Gold        18
15        2250 Gold        18
ANVILS
You can purchase most of the items available in Summoner's Rift once you get some Gold, but you also have access to Arena-specific items/perks through Anvils as the match goes on. They're sometimes handed out to all players as listed above, but they can also be purchased directly from the Shop:

Prismatic - 4000 Gold: Randomized choice between all Prismatic items, Arena-specific gear that can take your build to the next level.
Legendary - 2000 Gold: Randomized choice between Legendary items within your desired class (fighter, mage, etc).
Stat - 750 Gold: Randomized choices between raw stat upgrades.
You can re-roll an Anvil if you don't like your choices, but keep in mind this will come from the same re-roll pool as your Augments.

AUGMENTS
Augments are special game-altering effects that, once selected, apply for the rest of the current game. They come in three flavors of increasing intensity: Silver, Gold, and Prismatic. While the rarity is random, you can rest assured that all players are offered the same level of power.

There's a huge variety of Augments, and many of them interact in strange, interesting, and powerful ways. Don't be afraid to explore new options or dial in on a cracked combo.

JUICE
Earn a little extra money from knocking out your opponents? Consider knocking back a tasty Juice© for a short-term buff, now available every round.

JUICE        SINGLE ROUND BUFF
Juice of Power        AD/AP
Juice of Vitality        Health/Size
Juice of Haste        Ability Haste
Cappa Juice        Get a SWEET HAT that lasts the entire match (with no other effect)
Although you can't stack the same kind of Juice*, you CAN drink different kinds of Juice together to get their cumulative effect. 

*Cappa Juice is the only exception. Just like real life, hats can be stacked infinitely.
hats-on-hats-on-hats.jpg

COMBAT PHASE
Ready. Set. FIGHT!

Once preparation finishes, your team of two will be transported to one of four rings where you'll face off against another pairing. Last team standing wins the round, while the defeated team will lose health based on the round. 

ROUND        DAMAGE FOR DEFEAT
1–4        15
5–8        25
9–12        45
13–16        55
Win any of the bolded rounds above (5, 9, and 13) to gain 15 Health.

Win or lose, getting a kill will score you 250 Gold.

RING OF FIRE
If your match runs longer than 30 seconds, a ring of fire will begin to close in around your ring every few seconds. You'll receive a small amount of health %-based true damage whenever you're standing in the fire, so try to avoid the flames if possible. If the ring closes entirely, damage ramps up significantly. If you and your opponent both somehow manage to endure the flames for another 15 seconds after they've reached peak intensity, the round will end in a tie, dealing damage to both teams.

With this version of Arena, the ring of fire's flames will leave lasting-but-unseen burns. If you spend an exceptionally long time within the flames, you'll take even more damage—and this extra damage can persist between rounds.

RINGS OF WRATH
The mode may be called ""Arena,"" but it actually features FIVE different rings you can battle on throughout the competition.

FROSTBITE THICKET
frostbite-thicket.jpg

ANCESTRAL WOODS
ancestral-woods-arena.jpg

DESERT OASIS
desert-oasis.png
MAGMA CHAMBER
magma-chamber.jpg

KOI POND
koi pond.png

TERRAIN AND PLANTS
Arena boasts a few exclusive features to give you even more tactical options:

Deep Water (terrain): Doesn't block vision but otherwise acts like any other terrain.
Power Flower (plant): Gives Shield, Heal, Mana, and partial Cooldown refund on all abilities each time it's hit.
Bridge Bloom (terrain/plant): Can be walked on for a limited time before disappearing. If you're on it when it vanishes, you'll be knocked up and over to the closest piece of terrain.
CAMEOS
Not content to just sit around and let you have the fun, the following champions appear in your ring on random rounds throughout the match to add their own unique brand of chaos to the proceedings:

Lux
Sett
Pyke
Jhin
Thresh
DOWN BUT NOT OUT
If your teammate is defeated, a circle will appear at the place of their death after a few seconds. Stand in this circle for a few seconds, and they'll return to your side. Just because your teammate falls doesn't mean you'll have to finish the fight alone!

Each team only gets one revive per round, so treat your second life like it's your last.

END GAME
Once your team health drops to 0, it's game over. You can choose to stick around and see who wins or leave without penalty, after which you can jump right back into the queue. Just know that the results aren't tallied until a final pair of victors emerges from the fray, so you may not see progress on your missions if you leave immediately after being knocked out early

If an odd number of teams remain at any point, one team will be randomly selected to sit out a match. Take a breather—you've earned it.

CHALLENGE PROGRESSION
Check the Legacy Challenges tab to peruse Arena-specific challenges. Progress far enough and you'll get a Title for your efforts.

Just remember that challenges won't track until the match is complete. If you get knocked out early, you'll have to wait a bit to see where you stand.

RANKING SYSTEM
Arena's ranking system mirrors its gameplay philosophy—simple, fun, and competitive.

ARENA TIERS
ranks.jpg

TIER        GLADIATOR POINTS
Wood        0–1399
Bronze        1400–2599
Silver        2600–3299
Gold        3300–3999
Gladiator        4000+
Your current tier is shown via your in-lobby banner and in the post-game report.

PLACEMENTS AND CLIMBING
All players are initially seeded in the Wood tier (heh) at 500 Ranking Points, plus any points you earn for winning. But don't sweat it if victory is not forthcoming, as you'll be protected from losing any Gladiator Points until you reach the Gladiator tier. Your hidden Arena-specific MMR will still change behind the scenes to ensure you're getting fair matches while you climb, but becoming a true Gladiator is attainable to all players so long as you're earning Ranking Points by placing 4th or above. You'll start losing Gladiator Points for placing 5th or below once you hit Gladiator, but you'll never drop below 4000 Gladiator Points..

NO DEMOTIONS
Since Arena is coming to you fresh out of the oven, we want to emphasize fun and experimentation over a harrowing climb. That's why you won't be able to get demoted out of a tier. Fight ever onward and upward!"
General,Linking Your Riot Account to Twitch.TV,"Are you ready to watch your favorite streamers having a blast in Runeterra? Of course you are! But what if I told you that watching streams of our games could get you cool stuff? Are you in?! Then it’s time to talk about linking your Riot Account to Twitch!

First off, it’s important to clarify that Twitch.TV and Twitch Prime are separate. A lot of our players may have already linked to Twitch Prime (which is awesome). However, some of the aforementioned cool stuff is only eligible for Twitch.TV, which allows everyone to reap the rewards, whether they have Prime or not.

By linking your Riot Account to Twitch.TV, you’ll also be able to boost your beta odds for some of our future titles (including Legends of Runeterra). If you want to get in on the fun, hop over to Twitch to link your account! All you'll need to do is find Riot Games and click Connect. Just follow the steps from there."
General,Challenges FAQ - League of Legends,"Achievements have come to League of Legends! Finally, your 28-minute Elder Dragon steal can be immortalized forever in the halls of your Challenges profile. But who has the most Baron steals in your region? The most pentakills? If you’ve ever been curious to know who’s the best-of-the-best (and if it’s you), League of Legends Challenges are finally here to tell you! Not only that, but now you’ll be rewarded for pushing yourself and leveling-up your game like never before. Challenges launch in Patch 12.09 along with Titles, Tokens, and Challenge Leaderboards.

What are Challenges?
Challenges are a cost-free achievements system that lets players:

Chase fun and alternate objectives in and around gameplay
Be rewarded for time spent in League with unique and exciting content
Enhances and allows for customization of a your player profile and identity
You can see your list of available Challenges and progress when you visit your (in-client) Player Profile > Challenges tab!

league of legends support challenges page screenshot with numbered sections

1.) Your Challenges Crystal (and its tier)
2.) The Challenge Categories (and your progress within each)
3.) The Group Capstone (You must take on the Challenges within a group to level up its Capstone)
4.) The name of the Challenges Group
5.) How many Challenge Points you’ve earned from this Challenge
6.) A Challenge Card Tool Tip
7.) How many Challenges of the various Tiers you’ve earned

What are the Challenge Categories?
There are five categories of Challenges:

1. EXPERTISE: CHALLENGES FOCUSED ON SKILLFULLY CRUSHING YOUR OPPONENTS
Ex. Death Incarnate: Takedown 12 champions within 15 minutes

2. TEAMWORK & STRATEGY: CHALLENGES FOCUSED ON WORKING TOGETHER WITH YOUR TEAM TO DOMINATE THE RIFT
Ex. Team Diff: Score aces between minion spawn and 15 minutes

3. IMAGINATION: CHALLENGES FOCUSED ON DIFFERENT GAME MODES AND INNOVATIVE PLAYS
Ex. Bad Medicine: Kill enemies recently healed by a heal pack in ARAM

4. VETERANCY: CHALLENGES FOCUSED ON BIG LIFETIME NUMBERS IN KILLS, GOLD EARNED, AND OTHER STATS
Ex. Multi-Weapon Master: Win Summoner’s Rift games with different Mythic Items

5. COLLECTION: CHALLENGES FOCUSED ON COLLECTING COSMETICS AND ENGAGING WITH LOOT
Ex. Spice of Life: Obtain Champions

There are also Legacy Challenges , which are time-limited Challenges to commemorate season-based accomplishments and past achievements others can no longer obtain. They don't contribute to your overall progress, nor can you level up Legacy as a category.

What are Challenge Points?
Challenge Points are points you accumulate from completing individual objectives on a Challenge Card. Challenges Points are added to your total Category points, which contribute to your Crystal rank and Challenge-group Capstones. Keep clearing Challenges to level up your Crystal!

What are Challenge Cards?
challenge card with numbered parts

Front and center to every challenge is its Token (1), a unique icon that represents that Challenge, as well as its current tier. Below the Token is the challenge's name (2 - ""Gets The Wurm""), and below that is its criteria (3 - “Take Barons before 21 minutes”).

The upper left-hand corner (4) shows you how many points a challenge is contributing toward your overall Challenges score. The upper right-hand corner (5) shows you which modes a challenge can be earned in.

Finally, the bottom of the card (6) shows the next major reward you'll receive for leveling the challenge up to a given tier. In this example, you'll earn the title “Early Bird” once you hit Gold.

What are Challenge Card Tiers?
Clearing Challenges doesn’t stop at one-and-done! You’ll have to clear the same Challenge many times to level it from Unranked to Challenger. You can see how many Challenges of each tier you’ve collected in the upper right of your Challenges screen.

Players who reach the Apex level rank of Master in their Challenges can choose to compete for the chance to be added to their Regional Grandmaster and Challenger Leaderboards. To be on the Grandmaster or Challenger tier Leaderboard, you need to both clear the Challenge a certain number of times AND be in the top percentage of players in the region.

The real head-to-head fight starts after you achieve Master tier for an individual Challenge.

To reach Grandmaster, you must be in the Top 25% of players who have also achieved Master and be above the Grandmaster threshold.

To reach Challenger, you must be in the Top 5% of players who have also achieved Master and be above the Challenger threshold.

Ladders are recalculated every 24 hours.

Which Challenges count retroactively (prior to Patch 12.09)?
Challenges that track in-game stats, like minion kills and flame horizons, will only begin recording progress after Challenges are released in patch 12.09. But many Challenges track progress retroactively, including:

Challenges that track champion mastery
All challenges in the Collection category
Certain non-seasonal legacy challenges
What are Capstones?
Challenge Cards all build up to their group’s “Capstone” Challenge. You can only fully master a Capstone Challenge by completing all the other Challenges within its group. Gotta walk before you can run!

What do I get for completing Challenges?
WHAT ARE TITLES?
Titles are a reward for completing Challenges and Challenge Capstones. Titles appear in your profile, lobby and loading screen.

WHAT ARE TOKENS?
Tokens are rewards for completing a Challenge. You can select up to 3 to display on your Party Lobby Banner, and on your identity page, profile, lobby, and loading screens.

These images are shown in the middle of each Challenge Card. They can rank up and the Token changes color to correspond to tier.

loading screen with tokens and titles showing

What are Crystals?
Finally, the Crystal. The Crystal is what it’s all about! When you add up all the Challenge Points, Capstones, and Categories together you get the piece de resistance: your Crystal rank! This is what displays on your profile and summarizes your overall Challenges mastery to whoever visits, ranked from Unranked to Challenger. Your Crystal rank will display on your profile border, lobby and loading screen.

How do I use my Titles and Tokens?
Equip your Title and Tokens where you change your Summoner Icon!

Click your Summoner Icon in the upper right hand corner of your Client. You’ll see new tabs for Tokens and Titles beneath the “Customize Identity” headline."
General,Mystery Chest FAQ,"WHAT ARE MYSTERY CHESTS?
Mystery Chests are upgraded versions of Mystery Gifts. For 790 RP, you can send a random mystery skin to your friend that is worth 975 RP or more.

Mystery Chests are NOT available for self purchase.
 

WHAT SKINS ARE ELIGIBLE FOR MYSTERY CHEST?
Any skin that meets ALL of the following requirements is eligible:

Your friend owns the champion for the skin
The skin is worth at least 975 RP
The skin is available for purchase in the store *
* Legacy skins will also be obtainable as a Mystery Skin EXCEPT Achievement skins, Collector's Edition skins, PAX skins, Rusty Blitzcrank, Urf the Manatee, Championship Riven and Riot Squad Singed. Mythic skins that can be crafted with Mythic Essence will not come from a Mystery Chest.

Note: It is NOT possible to gift your friend a skin that he/she already owns.
 

WHAT ARE THE REQUIREMENTS FOR GIFTING TO FRIENDS?
The player receiving the gift:

Needs to have been on your buddy list for at least one day.
Cannot be banned or suspended.
Must have at least 10 unowned skins that they are eligible to receive for champions they own.
The player sending the gift:

Must be at least level 10.
Keep in mind that:

You can only send up to 10 gifts every 24 hours. *
You can only receive up to 10 gifts every 24 hours. *
* After you reach your limit, you’re able to purchase an 11th mystery chest 24 hours after your first purchase, a 12th mystery chest 24 hours after your second purchase, and so on. The limit does not reset at midnight.

 

CAN I REFUND A MYSTERY CHEST?
No. All gifting is non-reversible and non-refundable."
General,How to Check on a Support Ticket? - League of Legends,"Did you submit a ticket on support.riotgames.com and want to check on it? Learn how to check on your League of Legends support ticket in two easy steps! 


STEP 1:
Login to your League of Legends account using the login button in the upper right! 

STEP 2:
Click on ""My Tickets"" in the header bar. 

Here you can see all your tickets and their current status! "
General,Explore Runeterra FAQ,"Runeterra has a LOT of lore. Stories and comics, animations and events... Heck, it would take a Master's thesis just to figure out what Ryze has been up to for the last millennium! And that's exactly why we created Explore Runeterra, an interactive web experience that helps contextualize the world of Runeterra as a living, breathing place for you to discover and explore. Come find answers to your most pressing questions, and check out some concept art along the way!

 

The interactive map is available on Universe.

Features and Info
Collections of regional content, embedded art and sound, integration with champion bios, and many other features are available now! We're also looking at adding more ways to Explore Runeterra in the future, so be sure to come back soon!

 

HOW CAN I ACCESS THE MAP?
You can find the interactive map on Universe. Once there, click and drag around to your heart's content!

HOW OFTEN WILL THE MAP BE UPDATED?
One of the goals of the Explore Runeterra experience is to regularly release content on the Runeterra map that’s not specifically related to events or launches. We’ll be getting into a rhythm during the coming months, so stay tuned to see new content and features as they launch!

We’ll also use the map to regularly publish new event-related content as it comes out.

WHAT ABOUT NEW FEATURES?
Our primary focus is to populate the map with more content and create new content experiences. That being said, we’re going to continue feature development in order to keep this platform growing, easy to navigate and satisfying to use.

If you have any suggestions for new features you’d like to see implemented please be sure to submit them to Player Support.

HOW DO I REPORT MAP-RELATED BUGS?
You can submit a ticket through Player Support.

WHAT DEVICES DOES THE INTERACTIVE MAP SUPPORT?
The map is optimized for both desktop and mobile devices, but your browser must support the WebGL API in order to use it. Most major browsers have built-in support for WebGL, so if you’re having trouble viewing the map, make sure that you are using a WebGL compatible browser and that WebGL is enabled in your browser settings.

If you’re still experiencing any issues, let us know which device and browser you are using when you submit feedback!

Troubleshooting
For specific cases, take a look below. If your problem isn't here, make sure to reach out to Player Support!

 

THE MAP SEEMS TO BE LOADING SLOWLY AND IT’S REALLY LAGGY. WHAT CAN I DO?
The map’s performance is heavily dependent on your internet connection, browser settings, and in the case of mobile viewing, your phone’s specs! Make sure that your computer or mobile device has a strong signal, verify that hardware acceleration is enabled in your browser settings, and close out any unneeded apps on your phone.

THE MAP WON’T LOAD OR RUN FOR ME. WHAT CAN I DO?
Explore Runeterra is an interactive map experience built in WebGL. Most major browsers have built-in support for WebGL so if you are having trouble viewing the map, make sure that you are using a WebGL compatible browser and that WebGL is enabled in your browser settings.

 

Google Chrome Users, please make sure hardware acceleration is enabled in your browser:

1) Go to Chrome -> Settings. Type ‘hardware’.
2) Click to enable ‘Use hardware acceleration when available’
3) Relaunch the browser.

To check if your device supports WebGL, click here."
General,Howling Abyss (ARAM) FAQ,"Basic Info
SO, WHAT IS THE HOWLING ABYSS? AND WHAT DOES ARAM MEAN?
Howling Abyss is your battlefield, and ARAM is the game mode acronym which means ""All Random All Mid."" Think of it as a single lane, no-holds-barred battle between two teams of 5. Prepare yourself as a random champion is assigned to each player in this fast-paced, team-fight heavy game mode.

WHAT ARE THE KEY FEATURES AND DIFFERENCES ON HOWLING ABYSS?
ARAM is unlike any other League game mode in a few different ways:

Hexgates: Players can use Hexgates that are accessed from their Nexus Fountain and transport them quickly to the furthest, first-tier turret. When the first-tier turret goes down, the Hexgate then transports them to the second-tier turret.
Collapsing Turrets: When first-tier turrets collapse, they leave rubble to the north or south side that permanently alter the map for the remainder of the game.
Little Legend Companions: Players of Teamfight Tactics will recognize their favorite Little Legends who join their Champion on the Bridge. These companions are NPCs and just add a little cuteness and personality to every match.
NOTE: CHIBI CHAMPION LITTLE LEGENDS CANNOT BE EQUIPPED IN ARAM
Doing so could split open the multiverse and we can’t have that!

  
WHAT CHAMPIONS ARE INCLUDED IN THE CHAMPION POOL?
We want ARAM to be the random, wild adrenaline rush. As such, the champion pool will contain all of the following 65 champions, along with the current week's free-to-play rotation. 

Aatrox	Ahri	Akali	Amumu	Annie
Ashe	Brand	Braum	Caitlyn	Cho'Gath
Darius	Draven	Ekko	Ezreal	Fiora
Fizz	Garen	Graves	Irelia	Janna
Jarvan IV	Jax	Jhin	Jinx	Karma
Karthus	Katarina	Kayle	Kha'Zix	LeBlanc
Lee Sin	Leona	Lucian	Lulu	Lux
Malphite	Maokai	Master Yi	Miss Fortune	Mordekaiser
Morgana	Nautilus	Nidalee	Pantheon	Pyke
Quinn	Renekton	Riven	Ryze	Sivir
Sona	Soraka	Thresh	Tristana	Tryndamere
Twisted Fate	Twitch	Varus	Vayne	Veigar
Vel'Koz	Vladimir	Wukong	Xayah	Zed
WHERE DID ARAM COME FROM?
ARAM was originally a custom game type created by players on Summoner's Rift. Because Summoner's Rift is a 3 lane map, players created a rule where all summoners had to meet up and battle in the middle. Players trusted one another to abide by certain restrictions on items, summoner spells, and returning to base. This ended up becoming so popular that it became official. Thus ARAM was born!

WHAT HAPPENED TO THE OLD ARAM MAP?
The bridge collapsed from all of the stress and strain from the thousands of battles that took place on it.

DOES THAT MEAN THE TUTORIAL MAP WILL NOW BE ON THE HOWLING ABYSS?
Actually, the tutorial will be over on Summoner's Rift.

Matchmaking
CAN I EARN XP FROM ARAM?
Yes!

IS THERE AN OPTION TO PLAY HOWLING ABYSS IN QUICKPLAY OR DRAFT PICK?
No, these are not available for matchmade games. However, these options are available for custom games!

WHY AREN'T THOSE MODES AVAILABLE FOR MATCHMAKING?
Based on previous tests on the old ARAM map, the percentage of players that selected these picks modes was simply lower than the random romp we have currently. This doesn't mean these modes aren't fun though, so we encourage you to experiment within your custom games.

CAN I SEE MY OPPONENTS' CHAMPIONS IN THE CHAMPION SELECT SCREEN?
Nope! Your opponents' champions will remain hidden until the loading screen. This means your team will remain hidden to your opponents as well.

WHAT HAPPENS IF I QUEUE DODGE DURING CHAMPION SELECT?
You suffer a timer penalty and lose any reroll points you may have used during champion select.

WHAT HAPPENS IF I LEAVE A MATCHMADE ARAM GAME?
You will suffer the same penalty as leaving any other matchmade game. The LeaverBuster system also applies to this map!

Rerolls
WHAT'S A REROLL? AND WHAT'S WITH THE BENCH?!
When in the champion select screen, you have the option to reroll for another random champion as long as you have enough points to do so. This means you can reroll more than once.

Whenever you reroll a champion, that champ is sent to the Available Champions Pool, or the bench. There, your teammates (or you) can trade for it!

CAN I USE A REROLL AND END UP WITH THE SAME CHAMPION AGAIN?
No.

HOW DO I EARN POINTS FOR REROLLS?
You gain points as you play matchmade ARAM games.

HOW MANY REROLL POINTS DO I EARN PER GAME?
Win or lose, you earn a base number of points every match plus a bonus amount based on the amount of champions you own.

WHAT HAPPENS TO MY POINTS FOR THE REROLL IF SOMEONE OTHER THAN MYSELF DODGES?
If the match is disbanded due to an enemy or ally queue dodging, the cost is refunded.  If the ally dodging was someone in your premade, you will still be refunded your reroll points.

Skin Boosts
WHAT ARE SKIN BOOSTS?
For 95 RP, Skin Boosts unlock one random champion skin for every member of your team for the current game only. They also grant the purchaser 200 bonus Blue Essence for the game, as well as an additional 100 BE for all of your allies. 

HOW DO I UNLOCK SKIN BOOSTS?
Click the ""Boost"" button found above your Runes and Summoner Spells.

WHICH CHAMPION SKINS ARE AVAILABLE WHEN SKIN BOOSTING?
You have a chance to unlock any champion skin currently available for purchase in the store. Skins that are unavailable in the store, such as Legacy or Limited skins, will not be granted. Of course, you can also use any skins you already own for that champion! Note that chromas are not included in Skin Boosts. 

WHAT HAPPENS WHEN YOU REROLL OR TRADE CHAMPIONS?
If you reroll or trade champions after a Skin Boost has been unlocked, you will still get a new random skin with your new champion pick. However, if you reselect the champion you traded away or rerolled, you'll have the original Boosted skin that was granted to you. 

WHAT HAPPENS IF SOMEONE DODGES AFTER I PURCHASE A SKIN BOOST?
If someone dodges after you've unlocked a Skin Boost, don't panic! You won't be charged and your RP will remain in your account. 

WHAT HAPPENS WHEN TWO PLAYERS TRY PURCHASING A SKIN BOOST? 
Only one Skin Boost can be purchased per game. If multiple people try purchasing a Skin Boost, only the first purchase will go through and the others will be stopped.

ARE SKIN BOOSTS REFUNDABLE?
Skin Boosts are not refundable. Please refer to our Global Refund Policy for more information."
General,Unlocking Game Modes,"Welcome to League of Legends!
We've implemented a system for new players to unlock various game modes as they progress. At first, you'll be able to participate in Co-op Vs. AI matches on Summoner's Rift and custom matches to get a better feel for the game. You'll have access to Teamfight Tactics (TFT) from the very beginning at level 1, as well. As you gain levels, more maps and game modes will become available to you:

Normal 5v5 Summoner's Rift (Quickplay) will open up at level 3.
ARAM 5v5 Howling Abyss will open up at level 3.
Practice Tool will open at level 9.
Normal 5v5 Summoner's Rift (Draft) will open up at level 10, when you have at least 20 champions available.
Ranked Solo/Duo and Ranked Flex queues for 5v5 Summoner's Rift will open at level 30, when you acquire at least 20 champions.
No matter which mode you choose, we can't wait to see how you grow as a Summoner.

GLHF!"
