category,question,answer
In-Game goods,"How to activate the visibility of special content (ARP ships, Transformers, etc.)","If you can't find some special ships such as Arpeggio, please check if they are set to be displayed:

Open the ""Additional Content"" filter by clicking the cogwheels icon located in the lower-right corner of the Port (just above the ship carousel).
Check if there is a green eye mark on the right side of Arpeggio or other special ships.
If the eye symbol is white and crossed, those ships or their unique camouflages won't be displayed. In battle, they will be replaced by standard versions of the ships with standard permanent camouflages. 

If this does not fix your problem, please contact Player Support to resolve the issue."
In-Game goods,About: Compensation Policy (in-game),"The World of Warships Team may decide to provide compensation if a server issue or an Unplanned/Extended server downtime lasts for at least four (4) hours more than expected (for scheduled server downtime or updates).

If compensation is approved, it will be automatically credited to all affected accounts.

Information about the compensation* will be provided on the Portal or by email.

*E.g., automatic delivery, manual claim via the Portal, special in-game mission.

The value of the compensation depends on the type of issue and length of the outage. This is decided on a case-by-case basis."
In-Game goods,Can I move Doubloons/Ships from one account to another?,"No, you cannot transfer any virtual assets between accounts..

If you would like to gift a ship to a fellow player, you can visit the Wargaming.net Premium Shop."
In-Game goods,About: Restoration Policy (in-game),"Premium Ships
Premium ships can be restored using the Recovery Tool.

Commanders
You may have dismissed one of your Commanders by mistake. We can offer you a way to have this Commander restored.

You can restore an unlimited number of commanders once every three (3) months, provided that the amount of Elite Commander XP gained with the dismissal is available on the account. As part of the restoration process, this amount of Elite Commander XP will be removed from the account and the resources (doubloons or credits) spent to acquire the XP during dismissal will be returned to the account.

Unique and Special upgrades
Player Support can restore any sold or destroyed unique or special upgrades.

Conditions

Any number of unique upgrades once a month.
Any number of special upgrades once a month.
48h action reversals
Player Support may be able to reverse some in-game actions.

Conditions
You contacted Player Support within 48 hours of the action. 
The action must be listed on the Reversible Action List, as seen below.
Purchased goods must not be used or sold.
Reversible Action List
Sell in-game goods for credits.
Buy the wrong amount of Premium Time during an event.
Convert the wrong amount of XP to Free XP for doubloons.
Buy the wrong containers in the Armory"
Vehicle restoration tool,VRT - Premium Ships Restoration,"The Vehicle Restoration Tool (VRT) allows players to restore all Premium ships that have been previously sold.

FOLLOW THIS LINK (https://na.wargaming.net/support/en/products/wows/help/31417/31418/) to submit a VRT ticket.

VRT can only process one (1) restoration request at a time. VRT only allows one (1) successful restoration every 30 days.
It takes up to 24 hours for a sold Premium ship to become available for restoration in the Vehicle Restoration Tool.
If a Premium ship is present in your Port, the Vehicle Restoration Tool will not work for this ship.
Vehicle restoration requests submitted via the ticket center will be answered by an automated system.
Ensure that you have at least one vacant slot and enough credits (see below).
Conditions
VRT can only process one (1) restoration request at a time. VRT only allows one (1) successful restoration every 30 days.
The buyback restoration cost in credits is equal to the selling value plus a 10% fee. You can find additional information HERE.
Premium ship restorations are unlimited.
All Premium ships will be restored without consumables, camouflages, flags, signals, or Commanders.
Each Premium ship restoration requires one (1) vacant slot."
Vehicle restoration tool,VRT – Restoration Cost Table,"Premium ships can be restored using the Recovery Tool.

The buyback restoration cost in credits is equal to the selling value plus a 10% fee.

All prices are indicative. Discounts and promotions may apply.
Some ships such as, but not limited to, Friesland, Nelson, Alaska, or Azuma, are sold for 0 credits and therefore cannot be restored through the VRT.
Some ships such as, but not limited to, Musashi, Missouri, Flint, Alabama ST, Black, Kronshtadt, or Neustrashimy, cannot be sold and therefore cannot be restored through the VRT.
Some ships cannot be played on specific servers, and therefore cannot be restored through the VRT on said servers.

LINK TO THE TABLE (https://na.wargaming.net/support/en/products/wows/article/27197/)

"
General Questions,Changes and Improvements in Update 13.3,"We've fixed the displayed information for the range before a torpedo can inflict maximum damage in the torpedo tooltip, as well as displayed damage numbers in the tooltip for fire and flooding.
Fixed an issue with the firing angles of Sicilia's rear turrets. Improved the minimal vertical angle that her guns need to reach to be able to fire. Now, the ship can better shoot at targets that are closer to her.
Fixed an issue where it was impossible to sell camouflages of the Awarded category.
Fixed an issue where it was impossible to sell rare and unique economic bonuses.
Fixed textures and geometry for the New Year permanent camouflages for Atlântico, Yumihari, Adatara, and Shimanto, as well as for ships Kaga B and Vermont.
Fixed the German text on German Cruiser Premium containers.
Fixed an issue that caused the terrain hit indicator to appear while aiming at a ship in front of an island.
Fixed an issue that caused the game client to crash in some situations after a GPU reset.
Improved performance of the Ship Information window in the Port.
Updated the Patrol Fighter UI icon and description for Béarn.
Updated Combat Instructions progress sound effects.
Fixed issues with camera angles when viewing Druid.
Made minor improvements to the Clan UI.
Revised account leveling texts in Russian and English.
Fixed minor UI issues in the Tech Tree."
General Questions,"How to record, turn off, or watch a replay","Replays are recorded in the game by default. The system stores replays of only the last 30 fought battles in order to save hard drive space. Replay files have the .wowsreplay extension, and they are stored in the ""Replays"" folder located in the root folder that contains the game client."
General Questions,How to turn replay recording off,"You can choose to turn replay recording on or off. To do so, you need to make changes to the engine_config.xml file. Follow these steps:

 

Close the game client.
Save a reserve copy of the engine_config.xml file that can be found in the World_of_Warships\bin\#######\res folder.
Open the engine_config.xml file in a text editor.
Find the </replays> string. The string is usually at the end of the file.
To turn replay recording off, you need to add the following string before it:
<isReplayEnabled>false</isReplayEnabled>


Save the changes in the file and run the game.
Replays will be saved in the ..\replays\ folder that will automatically be created in the game folder."
General Questions,How to turn replay recording back on,"You can choose to turn replay recording on or off. To do so, you need to make changes to the engine_config.xml file. Follow these steps:

 

Close the game client.
Save a reserve copy of the engine_config.xml file that can be found in the World_of_Warships\bin\#######\res folder.
Open the engine_config.xml file in a text editor.
Find the </replays> string. The string is usually at the end of the file.
To turn replay recording on, you need to add the following string before it:
<isReplayEnabled>true</isReplayEnabled>


Save the changes in the file and run the game.
Replays will be saved in the ..\replays\ folder that will automatically be created in the game folder."
